r,ae,UC,CRENBL,LANL2DZ,SBKJC,MDFSTU,cody-stu-mod,ag9
1.6,0.00181886,0.00354712,0.00274814,0.00475247,0.00684244,0.00047109,0.00116924,0.00126264
1.7,-0.03751328,-0.03630169,-0.03662557,-0.03512466,-0.03412551,-0.03810313,-0.0378581,-0.03789165
1.8,-0.05905327,-0.05823726,-0.05823439,-0.05716055,-0.05691871,-0.05909354,-0.05917516,-0.05928567
1.9,-0.06908695,-0.06856703,-0.0683532,-0.06762094,-0.06789188,-0.06875599,-0.06906783,-0.06921061
2.0,-0.07170319,-0.07141302,-0.07106333,-0.0705963,-0.07121093,-0.07113313,-0.07161273,-0.07175849
2.1,-0.06962437,-0.06950906,-0.06907482,-0.06880966,-0.06964801,-0.06891812,-0.06950128,-0.06964417
2.2,-0.06467014,-0.06469344,-0.06420776,-0.06409126,-0.06507654,-0.06389653,-0.06454916,-0.06467444
2.3,-0.0580728,-0.05820446,-0.05769305,-0.05768765,-0.05875438,-0.0572858,-0.05797368,-0.05808126
2.4,-0.05066727,-0.05089136,-0.05037495,-0.05044291,-0.05155032,-0.04991152,-0.05061237,-0.05070057
