z bind
1.2 0.028110799999993996
1.3 -0.03674379000000194
1.4 -0.07691074000000164
1.5 -0.1001685199999961
1.6 -0.11182861000000266
1.7 -0.11557525000000546
1.8 -0.11399298000000535
1.9 -0.10890702999999669
2.0 -0.10162024999999553
