r bind
1.20 0.30500876
1.30 0.07224523
1.40 -0.06744758
1.50 -0.14528656
1.60 -0.18168875
1.70 -0.19115812
1.80 -0.18406813
1.90 -0.16770269
2.00 -0.14705336
2.10 -0.12555845
