r bind
1.20 0.03077980
1.30 -0.03716108
1.40 -0.07720074
1.50 -0.09853901
1.60 -0.10745080
1.70 -0.10822431
1.80 -0.10379876
1.90 -0.09619527
2.00 -0.08680717
