z,bind
1.2,-0.03142632999998718
1.3,-0.07841582999998231
1.4,-0.10242852999999663
1.5,-0.11173692999999141
1.6,-0.11173152999999936
1.7,-0.10595763000000524
1.8,-0.09677542999999311
