                                                  

          SCF
   -15287.54621
   -15287.65448
   -15287.55503
   -15287.62929
   -15287.35620
   -15287.43387
   -15286.87125
   -15285.92542
   -15284.52569
   -15282.63865
   -15281.85928
   -15281.42863
   -15280.27160
   -15265.17365
   -15243.57496
                                                  
