energy   error   state
-134.5338266 0.001434118988 1.7
-134.620874 0.0009357138357 1.8
-134.6581753 0.001196402454 1.9
-134.6674906 0.001326832857 2.0
-134.6540955 0.001086112166 2.1
-134.6351139 0.001351200093 2.2
