                                                  

         SCF
   -5197.673688
   -5197.674691
   -5197.574776
   -5197.493125
   -5197.456583
   -5197.248486
   -5196.710263
   -5195.475585
   -5193.665527
   -5191.238825
   -5188.207164
   -5184.257497
   -5179.628191
   -5174.241176
   -5168.068102
   -5161.136002
   -5128.780769
   -5087.473180
                                                  
