250	-293.85447175
260	-293.85774133
270	-293.86020134
280	-293.86208357
290	-293.86355149
300	-293.86469165
310	-293.86558000
320	-293.86630752
330	-293.86690440
340	-293.86738786
350	-293.86780845
360	-293.86815989
370	-293.86845929
380	-293.86872074
390	-293.86894267
400	-293.86913464
410	-293.86929931
420	-293.86943924
430	-293.86955965
440	-293.86966073
450	-293.86974571
460	-293.86981595
470	-293.86987462
480	-293.86992217
490	-293.86996143
500	-293.86999313
510	-293.87001887
520	-293.87003910
530	-293.87005504
540	-293.87006782
550	-293.87007766
560	-293.87008556
570	-293.87009148
580	-293.87009582
590	-293.87009976
600	-293.87010269
