z,CRENBL,LANL2,MDFSTU,UC,MWBSTU,ccECP,AE
1.720000,-0.088318,-0.087137,-0.088356,-0.088674,-0.089054,-0.088672,-0.089129
1.820000,-0.086407,-0.085268,-0.086513,-0.086776,-0.087045,-0.086811,-0.087177
1.920000,-0.081764,-0.080696,-0.081913,-0.082140,-0.082300,-0.082194,-0.082499
2.020000,-0.075425,-0.074445,-0.075600,-0.075804,-0.075861,-0.075862,-0.076115
2.120000,-0.068115,-0.067237,-0.068303,-0.068497,-0.068460,-0.068546,-0.068749
2.220000,-0.060348,-0.059583,-0.060540,-0.060732,-0.060609,-0.060762,-0.060913
2.320000,-0.052496,-0.051850,-0.052683,-0.052876,-0.052681,-0.052882,-0.052987
2.420000,-0.044822,-0.044294,-0.045001,-0.045199,-0.044939,-0.045177,-0.045242
2.520000,-0.037522,-0.037104,-0.037687,-0.037889,-0.037579,-0.037840,-0.037875
