                        1  1111011110                  0.0106    0.1029    0.0000
                        2  1110111101                  0.0952   -0.3086    0.0000
                        3  1011111101                  0.0608   -0.2467    0.0000
                        4  1101111011                  0.0423    0.2057    0.0000
                        5  0111111011                  0.3651    0.6042    0.0000
                        6  1110110111                  0.0608   -0.2467    0.0000
                        8  1101101111                  0.3651    0.6042    0.0000
