r bind
1.20 0.30945707
1.30 0.07497446
1.40 -0.06590400
1.50 -0.14451542
1.60 -0.18142117
1.70 -0.19121797
1.80 -0.18433421
1.90 -0.16809011
2.00 -0.14749907
2.10 -0.12599958
