r bind
1.40 0.10423719
1.50 -0.03288115
1.60 -0.10689384
1.70 -0.14157592
1.80 -0.15216364
1.90 -0.14826850
2.00 -0.13583352
2.10 -0.11909677
2.20 -0.10150447
