r bind
1.40 0.08613274
1.50 -0.04887955
1.60 -0.11990481
1.70 -0.15170823
1.80 -0.15989979
1.90 -0.15414604
2.00 -0.14030894
2.10 -0.12245629
2.20 -0.10407524
