                                                  

       SCF,CCSD
   -11.16275366,   -11.34541634
   -10.92924573,   -11.09101857
   -11.25464547,   -11.46654077
   -10.81170116,   -10.95850491
   -10.38114553,   -10.61131341
   -10.47531471,   -10.59297874
   -10.17101179,   -10.27249692
    -9.06855803,    -9.15290651
    -7.61541542,    -7.68031690
    -5.79286314,    -5.83676392
    -6.96520089,    -7.01108144
                                                  
