r bind
1.5 0.04229526
1.6 -0.03302724
1.7 -0.06992459
1.8 -0.08547901
1.9 -0.08823399
2.0 -0.08355147
2.1 -0.06945801
2.2 -0.05686373
2.3 -0.04595551
