250	-134.68991235
260	-134.69135607
270	-134.69271469
280	-134.69394553
290	-134.69502650
300	-134.69593371
310	-134.69665551
320	-134.69722769
330	-134.69766702
340	-134.69797877
350	-134.69820979
360	-134.69836104
370	-134.69846264
380	-134.69852639
390	-134.68494065
400	-134.69858063
410	-134.68497123
420	-134.69859550
430	-134.69859506
440	-134.69859810
450	-134.69859860
460	-134.69859774
470	-134.69860042
480	-134.69859982
490	-134.69860254
500	-134.69860214
510	-134.69860601
520	-134.69860735
530	-134.69860984
540	-134.69860834
550	-134.69861219
560	-134.69861374
570	-134.69861433
580	-134.69861466
590	-134.69861516
600	-134.69861681
