r bind
1.20 0.02675482
1.30 -0.04190106
1.40 -0.08197494
1.50 -0.10301896
1.60 -0.11149977
1.70 -0.11180398
1.80 -0.10691869
1.90 -0.09888572
2.00 -0.08910554
