250	0.00523629
260	0.00451620
270	0.00399538
280	0.00357951
290	0.00321195
300	0.00287257
310	0.00255405
320	0.00224246
330	0.00194375
340	0.00167011
350	0.00140845
360	0.00117559
370	0.00097014
380	0.00078713
390	0.00063230
400	0.00050116
410	0.00039225
420	0.00030358
430	0.00023226
440	0.00017518
450	0.00013176
460	0.00009805
470	0.00007236
480	0.00005390
490	0.00004036
500	0.00003071
510	0.00002380
520	0.00001913
530	0.00001599
540	0.00001416
550	0.00001253
560	0.00001144
570	0.00001088
580	0.00001016
590	0.00000971
600	0.00000945
