250	-271.91918413
260	-271.92018971
270	-271.92091703
280	-271.92149778
290	-271.92201107
300	-271.92248500
310	-271.92292981
320	-271.92336494
330	-271.92378208
340	-271.92416420
350	-271.92452961
360	-271.92485479
370	-271.92514170
380	-271.92539726
390	-271.92561348
400	-271.92579662
410	-271.92594870
420	-271.92607253
430	-271.92617212
440	-271.92625184
450	-271.92631247
460	-271.92635954
470	-271.92639542
480	-271.92642120
490	-271.92644011
500	-271.92645358
510	-271.92646323
520	-271.92646975
530	-271.92647414
540	-271.92647669
550	-271.92647897
560	-271.92648050
570	-271.92648127
580	-271.92648228
590	-271.92648291
600	-271.92648327
