250	-254.65976930
260	-254.66248680
270	-254.66480277
280	-254.66681586
290	-254.66854502
300	-254.67003900
310	-254.67127388
320	-254.67235471
330	-254.67326785
340	-254.67401117
350	-254.67468455
360	-254.67521480
370	-254.67567709
380	-254.67607503
390	-254.67640831
400	-254.67667471
410	-254.67691159
420	-254.67709431
430	-254.67726829
440	-254.67740044
450	-254.67752002
460	-254.67761627
470	-254.67769553
480	-254.67776508
490	-254.67781534
500	-254.67786827
510	-254.67790506
520	-254.67792897
530	-254.67795485
540	-254.67797832
550	-254.67800525
560	-254.67802458
570	-254.67802944
580	-254.67805444
590	-254.67805412
600	-254.67807371
