r bind
1.20 0.02253500
1.30 -0.04245310
1.40 -0.08057528
1.50 -0.10066933
1.60 -0.10876684
1.70 -0.10899856
1.80 -0.10420757
1.90 -0.09635718
2.00 -0.08680451
