,MAD,LMAD,WMAD
LANL2,1.0674,0.2554,16.2677
SBKJC,0.3773,0.0793,4.4579
MWBSTU,0.2768,0.0519,2.9000
UC,0.2825,0.0463,2.8670
CRENBL,0.1322,0.0644,2.7853
MDFSTU,0.3263,0.0329,2.6096
ccECP,0.0999,0.0228,1.5609
