,MAD,LMAD,WMAD
LANL2,1.3255,0.0594,7.9377
CRENBL,0.3132,0.0171,1.6410
MWBSTU,0.2293,0.0256,1.2055
MDFSTU,0.2859,0.0063,1.1820
UC,0.1002,0.0076,0.7337
ccECP,0.0453,0.0133,0.5560
