,MAD,LMAD,WMAD
UC,0.3771,0.1001,5.2717
MDFSTU,0.3061,0.0733,4.9418
BFD,0.3279,0.0998,4.9175
LANL2,0.2981,0.0618,4.8894
MWBSTU,0.3111,0.0857,4.3925
CRENBS,0.2018,0.0565,3.3188
SBKJC,0.1727,0.0382,2.9077
ccECP,0.0715,0.0427,1.5073
