,MAD,LMAD,WMAD
LANL2,1.9474,0.1113,8.9294
SBKJC,0.5350,0.0697,3.5627
MDFSTU,0.8226,0.0177,2.7684
MWBSTU,0.7767,0.0105,2.5462
UC,0.5589,0.0282,2.0475
CRENBL,0.3961,0.0372,1.7932
ccECP,0.0892,0.0068,0.5457
