,MAD,LMAD,WMAD
LANL2,2.0698,0.0279,4.8575
SBKJC,1.4527,0.0645,4.6203
MWBSTU,0.8222,0.0060,2.7645
CRENBL,1.1269,0.0188,2.5924
MDFSTU,0.3299,0.0198,1.5543
UC,0.2302,0.0104,0.8072
ccECP,0.2002,0.0076,0.7332
