,MAD,LMAD,WMAD
SBKJC,0.5990,0.2709,11.3279
LANL2,0.4587,0.1236,8.7850
BFD,0.3811,0.0994,7.1586
UC,0.3867,0.1060,6.8556
MDFSTU,0.3673,0.0611,6.8053
MWBSTU,0.3540,0.0598,6.3910
CRENBS,0.2568,0.0498,4.9996
ccECP,0.0813,0.0411,1.7069
