,MAD,LMAD,WMAD
SBKJC,0.0862,0.0213,5.6745
MDFSTU,0.1239,0.0536,2.5824
LANL2,0.1688,0.0372,2.4697
UC,0.0559,0.0204,2.0826
MWBSTU,0.2094,0.0215,1.3804
CRENBL,0.0359,0.0261,1.1944
ccECP,0.0680,0.0146,0.9973
