,MAD,LMAD,WMAD
LANL2,0.9255,0.0902,8.6760
MWBSTU,1.1779,0.0806,7.5953
SBKJC,0.7432,0.0658,6.4837
CRENBL,0.6434,0.0301,4.8658
UC,0.6657,0.0493,4.4874
MDFSTU,0.3446,0.0556,4.3028
ccECP,0.1888,0.0219,3.2182
