,MAD,LMAD,WMAD
MDFSTU,1.0980,0.0606,18.5654
UC,1.1900,0.1244,16.8517
BFD,1.0375,0.1492,16.8119
LANL2,0.8163,0.0927,13.8111
MWBSTU,1.0705,0.1597,13.5864
CRENBS,0.8350,0.0418,12.8281
SBKJC,0.5148,0.0044,8.8813
ccECP,0.2970,0.0284,4.5132
