,MAD,LMAD,WMAD
BFD,0.6827,0.1245,10.8647
LANL2,1.1000,0.0920,8.5028
SBKJC,0.5918,0.0490,5.2372
MDFSTU,0.4674,0.0400,4.8076
MWBSTU,0.6749,0.0552,4.7006
UC,0.4679,0.0483,4.4737
CRENB(L/S),0.4999,0.0365,3.9547
ccECP,0.1355,0.0182,1.6240
