z,UC,CRENBS,LANL2,MDFSTU,SBKJC,ccECP,BFD,MWBSTU,AE
1.200000,0.036350,0.022535,0.024873,0.022128,0.032143,0.020585,0.030780,0.026755,0.025953
1.300000,-0.033831,-0.042453,-0.041152,-0.043962,-0.034558,-0.043785,-0.037161,-0.041901,-0.041166
1.400000,-0.075159,-0.080575,-0.079947,-0.082557,-0.074254,-0.081290,-0.077201,-0.081975,-0.080155
1.500000,-0.097277,-0.100669,-0.100447,-0.102772,-0.095725,-0.100836,-0.098539,-0.103019,-0.100537
1.600000,-0.106687,-0.108767,-0.108787,-0.110808,-0.105001,-0.108487,-0.107451,-0.111500,-0.108693
1.700000,-0.107792,-0.108999,-0.109169,-0.110894,-0.106228,-0.108383,-0.108224,-0.111804,-0.108911
1.800000,-0.103597,-0.104208,-0.104476,-0.105925,-0.102267,-0.103356,-0.103799,-0.106919,-0.104092
1.900000,-0.096158,-0.096357,-0.096691,-0.097888,-0.095098,-0.095353,-0.096195,-0.098886,-0.096211
2.000000,-0.086889,-0.086805,-0.087181,-0.088149,-0.086096,-0.085712,-0.086807,-0.089106,-0.086634
