r bind
1.20 0.02412101
1.30 -0.03942156
1.40 -0.07847014
1.50 -0.10081146
1.60 -0.11173628
1.70 -0.11490270
1.80 -0.11286724
1.90 -0.10743144
2.00 -0.09987284
