,MAD,LMAD,WMAD
LANL2,2.0698,0.0279,0.3125
SBKJC,1.4527,0.0645,0.5874
CRENBL,1.1269,0.0188,0.1343
MWBSTU,0.8222,0.0060,0.1545
MDFSTU,0.3299,0.0198,0.2088
UC,0.2302,0.0104,0.1606
ccECP,0.2002,0.0076,0.0922
