     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.2,  -19012.99805728,  -19013.69837250,   -19012.51200,   -19013.17863,   -0.49982785,  -0.49982785 
   1.3,  -19013.04217397,  -19013.73961075,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.4,  -19013.06520319,  -19013.75930106,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.5,  -19013.07496834,  -19013.76562034,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.6,  -19013.07638632,  -19013.76375427,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.7,  -19013.07259213,  -19013.75772978,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.8,  -19013.06560699,  -19013.74832507,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.9,  -19013.05674500,  -19013.73765266,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   2.0,  -19013.04686373,  -19013.72662978,      0.0000000,      0.0000000,    0.00000000,    0.00000000
                                                  
