r,ae,uc,crenbl,lanl2dz,mdfstu,sbkjc,i6
1.5,0.04235679,0.04997054,0.02136904,0.00290331,-0.01225669,0.01474288,0.02546674
1.6,-0.0344342,-0.03000865,-0.04591435,-0.05928191,-0.07259592,-0.05139106,-0.04135618
1.7,-0.07094659,-0.06864407,-0.07751988,-0.08677774,-0.09746615,-0.08179247,-0.07349362
1.8,-0.0860975,-0.08507252,-0.08979032,-0.09620486,-0.10444663,-0.09304319,-0.08639664
1.9,-0.08848423,-0.08825561,-0.09051894,-0.09499284,-0.10112108,-0.0929729,-0.08776525
2.0,-0.08352425,-0.08380569,-0.08461619,-0.08777382,-0.09218559,-0.08646715,-0.08242287
