r bind
1.40 0.06530617
1.50 -0.05945238
1.60 -0.12500443
1.70 -0.15392954
1.80 -0.16061508
1.90 -0.15407897
2.00 -0.13985033
2.10 -0.12181043
2.20 -0.10325777
