
     Z,SCF,CCSD
   1.885,   -142.7233436,   -143.7145823
   1.835,   -142.7190243,   -143.7158301
   1.785,   -142.7122365,   -143.7155835
   1.735,   -142.7024834,   -143.7133132
   1.685,   -142.6892076,   -143.7082826
   1.635,   -142.6717920,   -143.6995250
   1.585,   -142.6495591,   -143.6858237
   1.535,   -142.6217753,   -143.6656954
   1.485,   -142.5877191,   -143.6373170
                                                  
