     Z,SCF,CCSD
   1.885,   -142.2350265,   -143.2157843
   1.835,   -142.2302225,   -143.2166123
   1.785,   -142.2228718,   -143.2158670
   1.735,   -142.2124670,   -143.2130008
   1.685,   -142.1984400,   -143.2072544
   1.635,   -142.1801635,   -143.1976400
   1.585,   -142.1569483,   -143.1829152
   1.535,   -142.1280446,   -143.1615671
   1.485,   -142.0927034,   -143.1317387
