,MAD,LMAD,WMAD
LANL2,1.1486,0.1792,18.2896
UC,0.4458,0.0300,7.7115
SBKJC,0.4250,0.1656,4.8681
CRENBL,0.3029,0.0226,4.5411
bk2.0,0.3609,0.0624,3.1381
MDFSTU,0.3567,0.0620,2.8760
MWBSTU,0.2602,0.0277,2.6779
bk3.2,0.2594,0.0341,1.9018
bk2.4,0.2583,0.0355,1.8087
