z,bind
1.679000,-0.083033
1.629000,-0.085997
1.579000,-0.088140
1.529000,-0.089206
1.479000,-0.088885
1.429000,-0.086779
1.379000,-0.082410
1.329000,-0.075180
1.279000,-0.064351
1.229000,-0.048990
1.179000,-0.027919
