  Z,SCF,CCSD,BIND
   1.7,   -133.1445183,   -134.3351175,   -0.05451305
   1.8,   -133.2167350,   -134.4292738,   -0.14866935
   1.9,   -133.2395359,   -134.4733266,   -0.19272216
   2.0,   -133.2315096,   -134.4862839,   -0.20567949
   2.1,   -133.2041135,   -134.4800492,   -0.19944477
   2.2,   -133.1646927,   -134.4622794,   -0.18167180
