,MAD,LMAD,WMAD
MWBSTU,1.1779,0.0806,1.8710
LANL2,0.9255,0.0902,5.4792
SBKJC,0.7432,0.0658,2.8477
UC,0.6657,0.0493,0.9802
CRENBL,0.6434,0.0301,2.2439
MDFSTU,0.3446,0.0556,1.7503
ccECP,0.1888,0.0219,2.0159
