SCF,GAPS
-5.263711,0.0
-5.253134,0.010576999999999614
-4.909124,0.35458699999999954
-4.961673,0.3020379999999996
-4.727965,0.5357459999999996
-4.405847,0.8578640000000002
-4.109335,1.154376
-4.005199,1.2585119999999996
-3.869394,1.394317
-3.574931,1.68878
-3.209481,2.05423
-2.011836,3.2518749999999996
-1.503999,3.7597119999999995
-0.959566,4.304145
-0.885243,4.378468
