                        1  111101000000                0.0045   -0.0668    0.0000
                        2  101111000000                0.0609    0.2468    0.0000
                        4  010101110000                0.0039    0.0623    0.0000
                        5  001011110000                0.0298   -0.1726    0.0000
                        7  011010101000                0.0283    0.1681    0.0000
                        8  010110101000                0.0285    0.1689    0.0000
                        9  001101101000                0.0116    0.1078    0.0000
                       11  110100011000                0.0047   -0.0686    0.0000
                       12  101010011000                0.0283    0.1681    0.0000
                       14  011010100100                0.0042    0.0650    0.0000
                       15  010110100100                0.0032    0.0568    0.0000
                       16  001101100100                0.0304   -0.1742    0.0000
                       17  111000010100                0.0047   -0.0686    0.0000
                       18  110100010100                0.0015   -0.0382    0.0000
                       19  101010010100                0.0161    0.1271    0.0000
                       21  101100001100                0.0610   -0.2470    0.0000
                       22  001000111100                0.0141    0.1189    0.0000
                       24  011001100010                0.0158    0.1257    0.0000
                       25  010101100010                0.0100    0.1002    0.0000
                       26  001011100010                0.0378    0.1944    0.0000
                       27  000111100010                0.0129    0.1134    0.0000
                       29  101001010010                0.0360    0.1897    0.0000
                       30  100101010010                0.0052    0.0718    0.0000
                       31  111000001010                0.0283    0.1681    0.0000
                       32  110100001010                0.0165    0.1286    0.0000
                       33  101010001010                0.0399    0.1998    0.0000
                       34  100110001010                0.0146    0.1207    0.0000
                       35  010000111010                0.0094   -0.0970    0.0000
                       36  000010111010                0.0038    0.0615    0.0000
                       39  101010000110                0.0144    0.1201    0.0000
                       40  100110000110                0.0040    0.0634    0.0000
                       43  001000101110                0.0600   -0.2449    0.0000
                       44  000100101110                0.0288   -0.1697    0.0000
                       45  010011100001                0.0280    0.1673    0.0000
                       46  110001010001                0.0023    0.0478    0.0000
                       47  100011010001                0.0184    0.1355    0.0000
                       48  110010001001                0.0368    0.1918    0.0000
                       49  101001001001                0.0022    0.0472    0.0000
                       50  100101001001                0.0057   -0.0756    0.0000
                       52  110010000101                0.0051    0.0711    0.0000
                       53  101001000101                0.0056   -0.0750    0.0000
                       54  100101000101                0.0161    0.1268    0.0000
                       55  000001110101                0.0025    0.0501    0.0000
                       56  010000101101                0.0180   -0.1340    0.0000
                       57  000010101101                0.0152   -0.1232    0.0000
                       58  100000011101                0.0047   -0.0687    0.0000
                       59  110001000011                0.0182    0.1348    0.0000
                       60  100011000011                0.0362   -0.1902    0.0000
                       61  000001101011                0.0112   -0.1058    0.0000
                       62  000001100111                0.0322    0.1794    0.0000
                       63  100000001111                0.0616    0.2482    0.0000
