Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
1.4,-5.68914860,-5.82219252,-5.26366203,-5.33626855,-0.49982987,-0.49982987
1.5,-5.72430092,-5.85748413,,,,
1.6,-5.74443688,-5.87791394,,,,
1.7,-5.75413500,-5.88807175,,,,
1.8,-5.75663189,-5.89121024,,,,
1.9,-5.75421234,-5.88963100,,,,
2.0,-5.74849038,-5.88496203,,,,
2.1,-5.74060836,-5.87835648,,,,
2.2,-5.73137582,-5.87063357,,,,
