  Z,SCF,CCSD,BIND
   1.7,   -133.0964573,   -134.3106091,   -0.06059402
   1.8,   -133.1645595,   -134.4003927,   -0.15037760
   1.9,   -133.1853698,   -134.4422199,   -0.19220490
   2.0,   -133.1766187,   -134.4541942,   -0.20417912
   2.1,   -133.1492093,   -134.4476511,   -0.19763606
   2.2,   -133.1101364,   -134.4299022,   -0.17988712
