r bind
1.20 0.02444924
1.30 -0.03948848
1.40 -0.07895512
1.50 -0.10167303
1.60 -0.11291526
1.70 -0.11633753
1.80 -0.11450417
1.90 -0.10922336
2.00 -0.10178644
