z,BE
1.885,	-0.07765090
1.835,	-0.07858317
1.785,	-0.07795599
1.735,	-0.07522299
1.685,	-0.06962019
1.635,	-0.06018211
1.585,	-0.04566016
1.535,	-0.02455762
1.485,	0.00493815
