                                                  

     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.5,   -150.7336709,   -151.7579331,   -135.2012014,   -135.9266062,   -15.68703503,   -15.86622096
   1.6,   -150.8095038,   -151.8223963,      0.0000000,      0.0000000,     0.00000000,     0.00000000
   1.7,   -150.8534248,   -151.8541957,      0.0000000,      0.0000000,     0.00000000,     0.00000000
   1.8,   -150.8766565,   -151.8668314,      0.0000000,      0.0000000,     0.00000000,     0.00000000
   1.9,   -150.8865807,   -151.8685465,      0.0000000,      0.0000000,     0.00000000,     0.00000000
   2.0,   -150.8880336,   -151.8642330,      0.0000000,      0.0000000,     0.00000000,     0.00000000
   2.1,   -150.8841903,   -151.8567633,      0.0000000,      0.0000000,     0.00000000,     0.00000000
   2.2,   -150.8771372,   -151.8478600,      0.0000000,      0.0000000,     0.00000000,     0.00000000
                                                  
