 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -6.568120172978      -66.022002397544 (   1 * )
    2     0.0043261171     -6.563794055888      -66.017676280454 (   3 * )
    3     0.0105939902     -6.557526182755      -66.011408407320 (   5 * )
    4     0.0176739746     -6.550446198411      -66.004328422977 (   7 * )
    5     0.0251296538     -6.542990519170      -65.996872743736 (   9 * )
    6     0.0685331894     -6.499586983590      -65.953469208156 (   1 * )
    7     0.0728905529     -6.495229620068      -65.949111844634 (   9 * )
    8     0.0824273526     -6.485692820412      -65.939575044978 (  11 * )
    9     0.0852526976     -6.482867475395      -65.936749699960 (   3 * )
   10     0.0867831603     -6.481337012659      -65.935219237225 (   7 * )
   11     0.0886453767     -6.479474796271      -65.933357020837 (  13 * )
   12     0.0900737116     -6.478046461402      -65.931928685968 (   5 * )
   13     0.0950500409     -6.473070132111      -65.926952356676 (   9 * )
   14     0.1049325801     -6.463187592885      -65.917069817451 (   5 * )
   15     0.1062983633     -6.461821809722      -65.915704034287 (   9 * )
   16     0.1066973145     -6.461422858469      -65.915305083035 (   7 * )
   17     0.1141683403     -6.453951832676      -65.907834057242 (  11 * )
   18     0.1242480229     -6.443872150067      -65.897754374633 (   7 * )
   19     0.1249540078     -6.443166165129      -65.897048389695 (  13 * )
   20     0.1272131253     -6.440907047662      -65.894789272228 (   5 * )
   21     0.1312636528     -6.436856520130      -65.890738744696 (   3 * )
   22     0.1401683397     -6.427951833310      -65.881834057876 (   9 * )
   23     0.1514482724     -6.416671900530      -65.870554125095 (   1 * )
   24     0.1580024342     -6.410117738822      -65.863999963388 (   5 * )
   25     0.1716842029     -6.396435970077      -65.850318194643 (   7 * )
   26     0.1950856711     -6.373034501842      -65.826916726407 (   5 * )
   27     0.1994886866     -6.368631486425      -65.822513710990 (   9 * )
   28     0.2014347884     -6.366685384578      -65.820567609144 (   5 * )
   29     0.2046827842     -6.363437388826      -65.817319613392 (   7 * )
   30     0.2096594671     -6.358460705858      -65.812342930424 (   3 * )
   31     0.2175541298     -6.350566043148      -65.804448267713 (   1 * )
   32     0.2262058138     -6.341914359145      -65.795796583711 (   9 * )
   33     0.2942329955     -6.273887177505      -65.727769402071 (   5 * )
   34     0.3768595399     -6.191260633058      -65.645142857624 (   1 * )


 Total average:       -65.8995140103
