r bind
1.40 0.09295818
1.50 -0.03748956
1.60 -0.10769425
1.70 -0.14028072
1.80 -0.14975677
1.90 -0.14527875
2.00 -0.13255786
2.10 -0.11591941
2.20 -0.09874552
