r bind
1.20 0.30067679
1.30 0.06817471
1.40 -0.07115445
1.50 -0.14854714
1.60 -0.18449701
1.70 -0.19354076
1.80 -0.18606570
1.90 -0.16935685
2.00 -0.14840309
2.10 -0.12663881
