z,UC,MDFSTU,MWBSTU,CRENBL,SBKJC,LANL2,ccECP,AE
1.200000,-0.037552,-0.035679,-0.037381,-0.035483,-0.031426,-0.021954,-0.038249,-0.039162
1.300000,-0.084092,-0.082049,-0.083753,-0.081496,-0.078416,-0.069351,-0.084001,-0.085082
1.400000,-0.107662,-0.105534,-0.107251,-0.104631,-0.102429,-0.093461,-0.106986,-0.108222
1.500000,-0.116572,-0.114411,-0.116153,-0.113193,-0.111737,-0.102672,-0.115472,-0.116822
1.600000,-0.116242,-0.114063,-0.115839,-0.112574,-0.111732,-0.102450,-0.114825,-0.116202
1.700000,-0.110202,-0.108020,-0.109835,-0.106306,-0.105958,-0.096392,-0.108558,-0.109882
1.800000,-0.100812,-0.098627,-0.100484,-0.096729,-0.096775,-0.086891,-0.099003,-0.100232
