z,UC,BFD,MDFSTU,MWBSTU,CRENBS,SBKJC,LANL2,ccECP,AE
1.500000,0.127091,0.153362,0.037217,0.080633,0.261499,0.002709,-0.008635,0.083797,0.084958
1.600000,0.005951,0.013942,-0.062406,-0.034220,0.112914,-0.077804,-0.086131,-0.031309,-0.029222
1.700000,-0.063859,-0.065202,-0.116971,-0.098154,0.018909,-0.120575,-0.126850,-0.093330,-0.091592
1.800000,-0.101709,-0.105684,-0.141945,-0.129123,-0.037854,-0.138763,-0.143607,-0.122241,-0.121272
1.900000,-0.118829,-0.121918,-0.148058,-0.139257,-0.069306,-0.141382,-0.145206,-0.130953,-0.130672
2.000000,-0.121859,-0.123458,-0.142702,-0.136722,-0.083830,-0.134614,-0.137708,-0.127783,-0.127922
2.100000,-0.116049,-0.116726,-0.131026,-0.127099,-0.087603,-0.122843,-0.125388,-0.118254,-0.118502
2.200000,-0.106279,-0.106667,-0.117191,-0.114749,-0.085998,-0.109983,-0.111984,-0.106844,-0.106862
