z,UC,MDFSTU,MWBSTU,CRENBL,SBKJC,LANL2,ccECP,AE
1.400000,0.042403,0.037464,0.041557,0.035736,0.043885,0.033338,0.036064,0.037655
1.500000,-0.061897,-0.063948,-0.061048,-0.065493,-0.059736,-0.067216,-0.064840,-0.065205
1.600000,-0.111807,-0.112155,-0.110195,-0.113191,-0.109428,-0.114304,-0.112565,-0.114055
1.700000,-0.128757,-0.128089,-0.126872,-0.128530,-0.126323,-0.128944,-0.128123,-0.130185
1.800000,-0.126687,-0.125402,-0.124779,-0.125274,-0.124232,-0.124861,-0.125179,-0.127415
1.900000,-0.114527,-0.112876,-0.112759,-0.112238,-0.112030,-0.110807,-0.112526,-0.114585
