z,UC,MWBSTU,MDFSTU,CRENBL,SBKJC,LANL2,ccECP,AE
1.500000,0.045741,0.038489,0.038489,0.034894,0.039508,0.027813,0.038275,0.037616
1.600000,-0.022729,-0.026854,-0.026854,-0.029569,-0.026528,-0.035294,-0.026837,-0.027598
1.700000,-0.057219,-0.059397,-0.059397,-0.061369,-0.059477,-0.065902,-0.059216,-0.060036
1.800000,-0.071629,-0.072655,-0.072655,-0.074004,-0.072962,-0.077441,-0.072370,-0.073231
1.900000,-0.074499,-0.074875,-0.074875,-0.075719,-0.075294,-0.078185,-0.074535,-0.075401
2.000000,-0.070899,-0.070956,-0.070956,-0.071406,-0.071425,-0.073045,-0.070592,-0.071420
2.100000,-0.063809,-0.063788,-0.063788,-0.063936,-0.064268,-0.064902,-0.063421,-0.064169
2.200000,-0.055029,-0.055099,-0.055099,-0.055033,-0.055572,-0.055489,-0.054744,-0.055386
