r bind
1.40 0.06764679
1.50 -0.05162040
1.60 -0.11646601
1.70 -0.14655971
1.80 -0.15495067
1.90 -0.15008334
2.00 -0.13729411
2.10 -0.12040992
2.20 -0.10262951
