r bind
1.20 0.03214316
1.30 -0.03455782
1.40 -0.07425397
1.50 -0.09572505
1.60 -0.10500061
1.70 -0.10622750
1.80 -0.10226671
1.90 -0.09509830
2.00 -0.08609554
