r bind
1.20 0.02058506
1.30 -0.04378510
1.40 -0.08128952
1.50 -0.10083570
1.60 -0.10848747
1.70 -0.10838336
1.80 -0.10335649
1.90 -0.09535253
2.00 -0.08571223
