                                                  

   Z,SCF,CCSD,MO_SCF,MO_CCSD,H_SCF,H_CCSD
   1.22,   -4046.672226,   -4047.966208,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   1.32,   -4046.725394,   -4048.016850,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   1.42,   -4046.759363,   -4048.047979,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   1.52,   -4046.779884,   -4048.065698,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   1.62,   -4046.790953,   -4048.074208,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   1.72,   -4046.795413,   -4048.076450,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   1.82,   -4046.795319,   -4048.074498,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   1.92,   -4046.792164,   -4048.069820,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   2.02,   -4046.787033,   -4048.063436,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   2.12,   -4046.780702,   -4048.056070,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   2.22,   -4046.773704,   -4048.048234,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   2.32,   -4046.766386,   -4048.040308,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   2.42,   -4046.758968,   -4048.032563,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
   2.52,   -4046.751587,   -4048.025196,   -4046.255717,   -4047.487493,   -0.49982785,   -0.49982785
                                                  
