,MAD,LMAD,WMAD
LANL2,1.2488,0.2581,13.5458
SBKJC,0.6378,0.1233,2.2747
UC,0.5651,0.0750,1.4597
CRENBL,0.4465,0.0757,2.6436
MDFSTU,0.4286,0.0590,0.7661
ccECP,0.1238,0.0093,0.3971
