r bind
1.20 0.02487339
1.30 -0.04115164
1.40 -0.07994699
1.50 -0.10044709
1.60 -0.10878677
1.70 -0.10916859
1.80 -0.10447559
1.90 -0.09669051
2.00 -0.08718063
